Section,Name,Description,Price,Note
Antojitos,Guacamole con Chips,,$13.75,
Antojitos,Bandera Nachos,"Chips with melted monterey jack cheese, guacamole, refried beans, crema & salsa.",$14.95,Add meat +$2.50
Antojitos,Queso Fundido,"Skillet of melted cheese. Served with tortillas.",$13.95,Add chorizo +$2
Antojitos,Ceviche Costeno,"Red snapper & shrimp cooked in lime juice and onions. Served with salsa mexicana, avocado & chips.",$16.25,
Antojitos,Sopesitos,"Three fried corn masa boats filled with meat, refried beans, guacamole, crema, salsa & queso fresco.",$14.95,
Antojitos,Tamales,"Two chicken or pork tamales, mild tomato salsa, crema & queso fresco.",$13.45,
Sopas,Sopa de Tortilla,"Tomato-chile broth with queso fresco, crema, avocado, pasilla strips & tortilla strips.",$11.50,Add chicken +$1.95
Sopas,Coctel de Camaron,"Shrimp cocktail served in a broth with onions, avocado, cucumber, tomatoes, cilantro & salsa.",$19.50,
Ensaladas,Amigo Salad,"Romaine lettuce, tomatoes, jicama & queso fresco. Served with cilantro-jalapeno dressing.",$12.50,
Ensaladas,Fajita Salad,"Crispy tortilla bowl with beef, chicken or shrimp fajitas, black beans, melted cheese, lettuce, tomato, red bell pepper, red onions & cilantro-jalapeno dressing.",$18.95,Add shrimp fajitas +$2
Ensaladas,Pollo Asado Caesar Salad,"Romaine lettuce, queso fresco, tortilla strips, chicken breast & cilantro-guacamole caesar dressing.",$18.50,
Ensaladas,Ceviche Salad,"Romaine lettuce, cucumber, avocado, tomatoes, shrimp, red snapper cooked in lime juice, onions & cilantro-jalapeno dressing.",$19.50,
Quesadillas,Amigo Quesadilla,"Guacamole, crema & salsa.",$12.95,Add meat +$2.95
Quesadillas,Quesadilla de Vegetales,"Spinach, corn & zucchini on a spinach tortilla. Topped with salsa.",$12.75,
Quesadillas,Quesadilla con Camarones,"Shrimp, grilled corn, onions & mushrooms on a tomato tortilla. Topped with salsa mexicana.",$18.95,
Quesadillas,Fajita Quesadilla,"Beef, chicken or shrimp fajitas with guacamole, crema & salsa mexicana.",$18.95,
Burritos,Amigo Burrito,"Meat, rice, pinto beans, guacamole, cheese, sour cream & salsa.",$16.95,"Add $2 for wet burrito with salsa verde, sour cream & melted cheese"
